### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,384,337,-56.038,0,255,0,0,100,1,1
1,256,403,-136.308,0,255,0,0,100,1,1
2,75,681,164.309,0,255,0,0,100,1,1
3,657,900,-73.8238,0,255,0,0,100,1,1
4,145,695,61.4329,0,255,0,0,100,1,1
5,269,647,106.927,0,255,0,0,100,1,1
6,473,261,-34.4731,0,255,0,0,100,1,1
7,957,545,116.741,0,255,0,0,100,1,1
8,388,919,-79.9708,0,255,0,0,100,1,1
9,264,401,-94.3418,0,255,0,0,100,1,1
10,529,532,-8.74439,0,255,0,0,100,1,1
11,771,176,33.4806,0,255,0,0,100,1,1
12,939,415,-158.875,0,255,0,0,100,1,1
13,262,435,-117.444,0,255,0,0,100,1,1
14,312,544,-75.8854,0,255,0,0,100,1,1
15,744,229,8.58473,0,255,0,0,100,1,1
16,550,521,-151.205,0,255,0,0,100,1,1
17,797,180,-83.6148,0,255,0,0,100,1,1
18,650,354,164.605,0,255,0,0,100,1,1
19,690,323,9.50955,0,255,0,0,100,1,1
20,485,312,61.563,0,255,0,0,100,1,1
21,686,638,86.0256,0,255,0,0,100,1,1
22,142,624,-92.0462,0,255,0,0,100,1,1
23,355,413,-64.8157,0,255,0,0,100,1,1
24,109,541,156.48,0,255,0,0,100,1,1
25,362,128,26.4482,0,255,0,0,100,1,1
26,592,181,102.323,0,255,0,0,100,1,1
27,350,904,118.114,0,255,0,0,100,1,1
28,59,546,79.7217,0,255,0,0,100,1,1
29,136,643,3.42341,0,255,0,0,100,1,1
30,288,362,-56.4555,0,255,0,0,100,1,1
31,596,194,-121.452,0,255,0,0,100,1,1
32,312,407,16.4112,0,255,0,0,100,1,1
33,897,672,-25.9913,0,255,0,0,100,1,1
34,479,707,-86.8384,0,255,0,0,100,1,1
35,197,214,-108.454,0,255,0,0,100,1,1
36,360,664,163.574,0,255,0,0,100,1,1
37,474,786,-158.797,0,255,0,0,100,1,1
38,397,187,-108.951,0,255,0,0,100,1,1
39,605,182,54.9207,0,255,0,0,100,1,1
40,690,434,132.967,0,255,0,0,100,1,1
41,590,407,5.8254,0,255,0,0,100,1,1
42,487,961,178.829,0,255,0,0,100,1,1
43,843,542,-76.3954,0,255,0,0,100,1,1
44,802,382,78.1184,0,255,0,0,100,1,1
45,626,822,-26.0642,0,255,0,0,100,1,1
46,207,846,-119.55,0,255,0,0,100,1,1
47,166,280,31.1722,0,255,0,0,100,1,1
48,725,815,88.7637,0,255,0,0,100,1,1
49,272,373,-98.3445,0,255,0,0,100,1,1
50,257,670,69.2461,0,255,0,0,100,1,1
51,95,717,27.5981,0,255,0,0,100,1,1
52,547,185,162.326,0,255,0,0,100,1,1
53,742,850,20.5615,0,255,0,0,100,1,1
54,422,179,-145.64,0,255,0,0,100,1,1
55,466,966,21.7278,0,255,0,0,100,1,1
56,644,54,-36.7093,0,255,0,0,100,1,1
57,588,201,141.878,0,255,0,0,100,1,1
58,120,236,76.0361,0,255,0,0,100,1,1
59,171,322,-91.0469,0,255,0,0,100,1,1
60,850,229,60.8769,0,255,0,0,100,1,1
61,179,668,167.636,0,255,0,0,100,1,1
62,178,599,-167.302,0,255,0,0,100,1,1
63,612,624,-76.8442,0,255,0,0,100,1,1
64,534,967,40.1376,0,255,0,0,100,1,1
65,219,547,157.38,0,255,0,0,100,1,1
66,952,506,-89.898,0,255,0,0,100,1,1
67,792,824,-7.69257,0,255,0,0,100,1,1
68,530,71,-106.428,0,255,0,0,100,1,1
69,661,506,144.282,0,255,0,0,100,1,1
70,93,254,-25.6435,0,255,0,0,100,1,1
71,553,110,-96.1541,0,255,0,0,100,1,1
72,590,849,-52.6083,0,255,0,0,100,1,1
73,641,718,-67.1211,0,255,0,0,100,1,1
74,323,847,-32.5524,0,255,0,0,100,1,1
75,443,313,-50.925,0,255,0,0,100,1,1
76,433,924,170.955,0,255,0,0,100,1,1
77,304,280,131.354,0,255,0,0,100,1,1
78,464,555,17.1442,0,255,0,0,100,1,1
79,657,500,50.4627,0,255,0,0,100,1,1
80,616,924,-173.981,0,255,0,0,100,1,1
81,643,222,-114.355,0,255,0,0,100,1,1
82,116,273,-33.9679,0,255,0,0,100,1,1
83,551,767,-176.654,0,255,0,0,100,1,1
84,822,248,-69.2572,0,255,0,0,100,1,1
85,429,540,-67.2331,0,255,0,0,100,1,1
86,61,626,65.9867,0,255,0,0,100,1,1
87,600,134,-56.2565,0,255,0,0,100,1,1
88,467,104,-8.21066,0,255,0,0,100,1,1
89,161,712,-102.998,0,255,0,0,100,1,1
90,510,686,48.628,0,255,0,0,100,1,1
91,33,402,-149.398,0,255,0,0,100,1,1
92,700,187,-99.5378,0,255,0,0,100,1,1
93,913,414,-162.768,0,255,0,0,100,1,1
94,48,448,65.1472,0,255,0,0,100,1,1
95,184,162,-47.3011,0,255,0,0,100,1,1
96,342,814,176.612,0,255,0,0,100,1,1
97,232,174,-123.958,0,255,0,0,100,1,1
98,450,809,24.8887,0,255,0,0,100,1,1
99,280,321,-53.9504,0,255,0,0,100,1,1
100,385,330,-168.233,0,255,0,0,100,1,1
101,493,39,-175.677,0,255,0,0,100,1,1
102,770,287,13.7316,0,255,0,0,100,1,1
103,512,36,-0.965054,0,255,0,0,100,1,1
104,355,441,-139.695,0,255,0,0,100,1,1
105,626,863,-158.548,0,255,0,0,100,1,1
106,427,799,26.8524,0,255,0,0,100,1,1
107,445,611,-24.1598,0,255,0,0,100,1,1
108,500,910,-79.9884,0,255,0,0,100,1,1
109,277,127,11.0832,0,255,0,0,100,1,1
110,359,647,-54.9449,0,255,0,0,100,1,1
111,149,415,-40.3762,0,255,0,0,100,1,1
112,728,158,-77.8406,0,255,0,0,100,1,1
113,693,722,-79.1245,0,255,0,0,100,1,1
114,612,707,-130.117,0,255,0,0,100,1,1
115,174,241,-62.7407,0,255,0,0,100,1,1
116,535,250,-121.862,0,255,0,0,100,1,1
117,229,475,153.737,0,255,0,0,100,1,1
118,699,358,65.9685,0,255,0,0,100,1,1
119,491,432,-167.616,0,255,0,0,100,1,1
120,418,522,-11.1399,0,255,0,0,100,1,1
121,624,300,37.1387,0,255,0,0,100,1,1
122,960,493,56.1399,0,255,0,0,100,1,1
123,548,886,25.9077,0,255,0,0,100,1,1
124,494,169,75.4068,0,255,0,0,100,1,1
125,758,186,67.2848,0,255,0,0,100,1,1
126,476,545,-107.554,0,255,0,0,100,1,1
127,711,87,-140.767,0,255,0,0,100,1,1
128,421,316,-107.563,0,255,0,0,100,1,1
129,468,129,-178.571,0,255,0,0,100,1,1
130,377,598,72.5297,0,255,0,0,100,1,1
131,973,525,115.476,0,255,0,0,100,1,1
132,240,132,132.22,0,255,0,0,100,1,1
133,62,346,167.298,0,255,0,0,100,1,1
134,895,417,-149.933,0,255,0,0,100,1,1
135,359,375,-16.8023,0,255,0,0,100,1,1
136,365,605,8.72489,0,255,0,0,100,1,1
137,482,812,-7.83997,0,255,0,0,100,1,1
138,842,195,77.422,0,255,0,0,100,1,1
139,579,656,99.3907,0,255,0,0,100,1,1
140,452,260,131.727,0,255,0,0,100,1,1
141,298,815,-20.0214,0,255,0,0,100,1,1
142,805,734,-0.0867949,0,255,0,0,100,1,1
143,455,718,132.616,0,255,0,0,100,1,1
144,816,410,-111.303,0,255,0,0,100,1,1
145,837,340,0.618755,0,255,0,0,100,1,1
146,308,489,89.1823,0,255,0,0,100,1,1
147,605,350,90.4635,0,255,0,0,100,1,1
148,622,545,94.6172,0,255,0,0,100,1,1
149,700,724,-100.959,0,255,0,0,100,1,1
150,764,323,100.52,0,255,0,0,100,1,1
151,858,242,-51.8007,0,255,0,0,100,1,1
152,199,615,173.635,0,255,0,0,100,1,1
153,126,720,98.0664,0,255,0,0,100,1,1
154,46,348,-112.194,0,255,0,0,100,1,1
155,339,416,76.9199,0,255,0,0,100,1,1
156,550,676,-146.482,0,255,0,0,100,1,1
157,408,584,56.6002,0,255,0,0,100,1,1
158,567,325,179.049,0,255,0,0,100,1,1
159,415,721,-37.5372,0,255,0,0,100,1,1
160,935,676,-129.747,0,255,0,0,100,1,1
161,198,502,-83.592,0,255,0,0,100,1,1
162,93,529,118.095,0,255,0,0,100,1,1
163,413,501,-177.462,0,255,0,0,100,1,1
164,262,393,117.327,0,255,0,0,100,1,1
165,635,139,121.005,0,255,0,0,100,1,1
166,419,169,-58.5569,0,255,0,0,100,1,1
167,535,773,59.8417,0,255,0,0,100,1,1
168,878,555,30.3294,0,255,0,0,100,1,1
169,381,900,106.45,0,255,0,0,100,1,1
170,304,137,-150.162,0,255,0,0,100,1,1
171,205,869,21.5704,0,255,0,0,100,1,1
172,886,390,-116.775,0,255,0,0,100,1,1
173,817,806,106.37,0,255,0,0,100,1,1
174,226,274,61.815,0,255,0,0,100,1,1
175,651,420,50.2755,0,255,0,0,100,1,1
176,865,758,121.13,0,255,0,0,100,1,1
177,493,588,-80.9523,0,255,0,0,100,1,1
178,497,699,-170.715,0,255,0,0,100,1,1
179,493,658,-48.6738,0,255,0,0,100,1,1
180,504,284,96.5495,0,255,0,0,100,1,1
181,677,62,-135.263,0,255,0,0,100,1,1
182,639,580,-133.652,0,255,0,0,100,1,1
183,438,341,-7.66833,0,255,0,0,100,1,1
184,242,277,34.3318,0,255,0,0,100,1,1
185,885,776,77.17,0,255,0,0,100,1,1
186,201,254,19.308,0,255,0,0,100,1,1
187,722,375,-127.069,0,255,0,0,100,1,1
188,261,763,37.8424,0,255,0,0,100,1,1
189,302,469,-22.8757,0,255,0,0,100,1,1
190,509,772,97.8861,0,255,0,0,100,1,1
191,742,177,-137.4,0,255,0,0,100,1,1
192,303,634,55.9539,0,255,0,0,100,1,1
193,581,494,75.795,0,255,0,0,100,1,1
194,759,352,20.6809,0,255,0,0,100,1,1
195,203,778,-27.774,0,255,0,0,100,1,1
196,684,913,120.753,0,255,0,0,100,1,1
197,268,168,-4.29006,0,255,0,0,100,1,1
198,614,933,25.2414,0,255,0,0,100,1,1
199,561,79,-25.8963,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
