### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,672,358,-103.593,0,255,0,0,100,1,1
1,530,383,-163.062,0,255,0,0,100,1,1
2,794,439,-2.20507,0,255,0,0,100,1,1
3,688,835,39.8782,0,255,0,0,100,1,1
4,114,462,-87.5963,0,255,0,0,100,1,1
5,824,697,49.0282,0,255,0,0,100,1,1
6,298,531,-179.821,0,255,0,0,100,1,1
7,488,139,-53.9665,0,255,0,0,100,1,1
8,578,714,-176.978,0,255,0,0,100,1,1
9,162,603,-100.224,0,255,0,0,100,1,1
10,102,401,154.527,0,255,0,0,100,1,1
11,796,749,143.235,0,255,0,0,100,1,1
12,230,222,-155.011,0,255,0,0,100,1,1
13,349,509,-10.591,0,255,0,0,100,1,1
14,372,801,-115.603,0,255,0,0,100,1,1
15,260,401,-12.1837,0,255,0,0,100,1,1
16,951,490,25.7416,0,255,0,0,100,1,1
17,497,468,77.6481,0,255,0,0,100,1,1
18,464,746,174.322,0,255,0,0,100,1,1
19,98,742,12.8761,0,255,0,0,100,1,1
20,426,570,-133.923,0,255,0,0,100,1,1
21,823,385,88.6249,0,255,0,0,100,1,1
22,200,514,83.6362,0,255,0,0,100,1,1
23,633,48,96.3855,0,255,0,0,100,1,1
24,954,367,-81.9949,0,255,0,0,100,1,1
25,825,361,-5.0155,0,255,0,0,100,1,1
26,341,441,63.5106,0,255,0,0,100,1,1
27,459,184,-68.2869,0,255,0,0,100,1,1
28,271,374,-136.729,0,255,0,0,100,1,1
29,593,322,-126.492,0,255,0,0,100,1,1
30,874,729,-172.987,0,255,0,0,100,1,1
31,321,135,116.241,0,255,0,0,100,1,1
32,230,189,-36.5035,0,255,0,0,100,1,1
33,517,184,-40.9625,0,255,0,0,100,1,1
34,440,426,-64.6589,0,255,0,0,100,1,1
35,218,236,31.9947,0,255,0,0,100,1,1
36,752,423,-123.422,0,255,0,0,100,1,1
37,707,739,-145.439,0,255,0,0,100,1,1
38,258,568,18.1901,0,255,0,0,100,1,1
39,571,520,43.4927,0,255,0,0,100,1,1
40,268,591,66.4021,0,255,0,0,100,1,1
41,688,539,-22.6501,0,255,0,0,100,1,1
42,180,479,36.1531,0,255,0,0,100,1,1
43,367,200,-1.03634,0,255,0,0,100,1,1
44,502,551,-59.5913,0,255,0,0,100,1,1
45,508,946,86.8173,0,255,0,0,100,1,1
46,727,543,126.465,0,255,0,0,100,1,1
47,428,547,69.2775,0,255,0,0,100,1,1
48,39,536,168.23,0,255,0,0,100,1,1
49,430,413,28.6757,0,255,0,0,100,1,1
50,314,552,-175.565,0,255,0,0,100,1,1
51,819,314,158.943,0,255,0,0,100,1,1
52,549,796,-121.49,0,255,0,0,100,1,1
53,813,411,178.712,0,255,0,0,100,1,1
54,873,576,22.7675,0,255,0,0,100,1,1
55,533,254,-56.5198,0,255,0,0,100,1,1
56,777,850,-73.0728,0,255,0,0,100,1,1
