### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,458,115,-169.89,0,255,0,0,100,1,1
1,571,708,-140.162,0,255,0,0,100,1,1
2,418,852,-11.8534,0,255,0,0,100,1,1
3,414,285,-46.9277,0,255,0,0,100,1,1
4,562,645,-146.021,0,255,0,0,100,1,1
5,166,631,-90.0356,0,255,0,0,100,1,1
6,962,472,119.11,0,255,0,0,100,1,1
7,156,575,-158.466,0,255,0,0,100,1,1
8,127,569,24.7182,0,255,0,0,100,1,1
9,745,892,127.307,0,255,0,0,100,1,1
10,500,176,-25.8758,0,255,0,0,100,1,1
11,774,700,53.9169,0,255,0,0,100,1,1
12,522,452,128.788,0,255,0,0,100,1,1
13,812,822,-11.8559,0,255,0,0,100,1,1
14,343,483,67.3901,0,255,0,0,100,1,1
15,503,676,-3.91141,0,255,0,0,100,1,1
16,693,591,-54.9378,0,255,0,0,100,1,1
17,561,913,-19.9084,0,255,0,0,100,1,1
18,313,235,43.0109,0,255,0,0,100,1,1
19,416,511,60.5963,0,255,0,0,100,1,1
20,625,138,17.3438,0,255,0,0,100,1,1
21,673,222,-82.3375,0,255,0,0,100,1,1
22,185,700,-133.241,0,255,0,0,100,1,1
23,456,180,97.3607,0,255,0,0,100,1,1
24,198,392,-98.8205,0,255,0,0,100,1,1
25,327,106,-55.1191,0,255,0,0,100,1,1
26,368,143,66.1596,0,255,0,0,100,1,1
27,682,905,116.264,0,255,0,0,100,1,1
28,169,214,62.377,0,255,0,0,100,1,1
29,320,296,118.615,0,255,0,0,100,1,1
30,146,578,-79.7356,0,255,0,0,100,1,1
31,289,536,62.6022,0,255,0,0,100,1,1
32,507,193,82.7044,0,255,0,0,100,1,1
33,155,729,107.311,0,255,0,0,100,1,1
34,719,872,-18.8519,0,255,0,0,100,1,1
35,899,448,-103.956,0,255,0,0,100,1,1
36,120,434,65.7215,0,255,0,0,100,1,1
37,355,236,126.914,0,255,0,0,100,1,1
38,902,531,128.107,0,255,0,0,100,1,1
39,182,346,112.609,0,255,0,0,100,1,1
40,405,85,40.8408,0,255,0,0,100,1,1
41,870,595,87.2889,0,255,0,0,100,1,1
42,960,442,133.82,0,255,0,0,100,1,1
43,216,866,131.971,0,255,0,0,100,1,1
44,100,632,-61.6333,0,255,0,0,100,1,1
45,486,173,60.9611,0,255,0,0,100,1,1
46,636,292,108.548,0,255,0,0,100,1,1
47,643,131,42.7447,0,255,0,0,100,1,1
48,114,602,92.7946,0,255,0,0,100,1,1
49,384,300,-16.8537,0,255,0,0,100,1,1
50,336,564,65.0817,0,255,0,0,100,1,1
51,235,534,32.4153,0,255,0,0,100,1,1
52,99,590,-85.3614,0,255,0,0,100,1,1
53,199,797,93.7384,0,255,0,0,100,1,1
54,623,676,-30.0069,0,255,0,0,100,1,1
55,177,464,131.14,0,255,0,0,100,1,1
56,204,869,-110.108,0,255,0,0,100,1,1
57,484,238,178.767,0,255,0,0,100,1,1
58,478,462,-50.7211,0,255,0,0,100,1,1
59,928,697,-87.0642,0,255,0,0,100,1,1
60,746,788,-18.5358,0,255,0,0,100,1,1
61,176,567,167.966,0,255,0,0,100,1,1
62,311,328,-13.3401,0,255,0,0,100,1,1
63,503,862,28.43,0,255,0,0,100,1,1
64,582,323,-157.682,0,255,0,0,100,1,1
65,759,475,-64.3674,0,255,0,0,100,1,1
66,284,695,-158.621,0,255,0,0,100,1,1
67,476,125,-107.798,0,255,0,0,100,1,1
68,286,579,-167.27,0,255,0,0,100,1,1
69,515,497,125.805,0,255,0,0,100,1,1
70,674,624,168.491,0,255,0,0,100,1,1
71,97,348,111.271,0,255,0,0,100,1,1
72,544,750,141.015,0,255,0,0,100,1,1
73,916,515,-163.082,0,255,0,0,100,1,1
74,558,680,-1.84289,0,255,0,0,100,1,1
75,271,180,-56.5546,0,255,0,0,100,1,1
76,144,229,29.1229,0,255,0,0,100,1,1
77,738,725,51.4137,0,255,0,0,100,1,1
78,604,841,33.6645,0,255,0,0,100,1,1
79,274,530,85.7997,0,255,0,0,100,1,1
80,367,284,112.419,0,255,0,0,100,1,1
81,231,456,-166.881,0,255,0,0,100,1,1
82,650,857,63.2575,0,255,0,0,100,1,1
83,386,879,54.7917,0,255,0,0,100,1,1
84,495,584,-90.8635,0,255,0,0,100,1,1
85,817,425,28.3763,0,255,0,0,100,1,1
