### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,257,155,-100.167,0,255,0,0,100,1,1
1,465,332,68.1946,0,255,0,0,100,1,1
2,728,621,-7.91201,0,255,0,0,100,1,1
3,803,801,116.228,0,255,0,0,100,1,1
4,619,39,-174.51,0,255,0,0,100,1,1
5,951,486,-63.8279,0,255,0,0,100,1,1
6,448,180,47.0437,0,255,0,0,100,1,1
7,797,244,-114.957,0,255,0,0,100,1,1
8,825,173,107.592,0,255,0,0,100,1,1
9,318,131,-40.4665,0,255,0,0,100,1,1
10,638,406,168.36,0,255,0,0,100,1,1
11,112,657,0.699422,0,255,0,0,100,1,1
12,267,279,-178.154,0,255,0,0,100,1,1
13,923,391,-10.4921,0,255,0,0,100,1,1
14,873,788,105.428,0,255,0,0,100,1,1
15,387,750,-70.1229,0,255,0,0,100,1,1
16,511,381,74.1808,0,255,0,0,100,1,1
17,486,712,65.5394,0,255,0,0,100,1,1
18,627,126,-116.504,0,255,0,0,100,1,1
19,410,137,-108.131,0,255,0,0,100,1,1
20,491,497,110.522,0,255,0,0,100,1,1
21,188,786,-60.2197,0,255,0,0,100,1,1
22,849,389,6.45109,0,255,0,0,100,1,1
23,788,319,-12.5424,0,255,0,0,100,1,1
24,158,257,-135.532,0,255,0,0,100,1,1
25,914,618,-159.278,0,255,0,0,100,1,1
26,675,683,-87.6832,0,255,0,0,100,1,1
27,228,345,165.809,0,255,0,0,100,1,1
28,613,707,9.09629,0,255,0,0,100,1,1
29,817,618,-111.728,0,255,0,0,100,1,1
30,305,773,-100.938,0,255,0,0,100,1,1
31,470,941,112.097,0,255,0,0,100,1,1
32,339,515,-82.2893,0,255,0,0,100,1,1
33,623,796,-71.8536,0,255,0,0,100,1,1
34,573,889,-36.7997,0,255,0,0,100,1,1
35,389,614,-171.712,0,255,0,0,100,1,1
36,445,185,-107.138,0,255,0,0,100,1,1
37,435,192,161.214,0,255,0,0,100,1,1
38,349,516,54.7412,0,255,0,0,100,1,1
39,548,831,37.7873,0,255,0,0,100,1,1
40,494,744,40.3646,0,255,0,0,100,1,1
41,234,853,59.6735,0,255,0,0,100,1,1
42,418,488,-26.032,0,255,0,0,100,1,1
43,355,568,-137.951,0,255,0,0,100,1,1
44,683,255,175.353,0,255,0,0,100,1,1
45,845,501,-71.927,0,255,0,0,100,1,1
46,561,282,59.0983,0,255,0,0,100,1,1
47,445,892,-105.281,0,255,0,0,100,1,1
48,290,240,89.0332,0,255,0,0,100,1,1
49,531,936,28.7252,0,255,0,0,100,1,1
50,485,965,-166.462,0,255,0,0,100,1,1
51,894,469,11.8958,0,255,0,0,100,1,1
52,454,549,-14.4709,0,255,0,0,100,1,1
53,685,140,22.298,0,255,0,0,100,1,1
54,166,196,14.7214,0,255,0,0,100,1,1
55,467,475,-101.094,0,255,0,0,100,1,1
56,282,600,-109.031,0,255,0,0,100,1,1
57,706,815,-81.7379,0,255,0,0,100,1,1
58,916,328,108.54,0,255,0,0,100,1,1
59,69,339,-12.3089,0,255,0,0,100,1,1
60,236,187,-79.1715,0,255,0,0,100,1,1
61,798,334,15.6269,0,255,0,0,100,1,1
62,868,497,-71.8184,0,255,0,0,100,1,1
63,696,885,97.4379,0,255,0,0,100,1,1
64,576,497,96.2715,0,255,0,0,100,1,1
65,259,291,157.666,0,255,0,0,100,1,1
66,472,652,-11.2681,0,255,0,0,100,1,1
