### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,753,631,-80.7388,0,255,0,0,100,1,1
1,307,642,61.3999,0,255,0,0,100,1,1
2,109,679,121.877,0,255,0,0,100,1,1
3,660,820,120.319,0,255,0,0,100,1,1
4,352,595,-95.2732,0,255,0,0,100,1,1
5,295,332,-135.96,0,255,0,0,100,1,1
6,56,488,131.549,0,255,0,0,100,1,1
7,514,424,110.794,0,255,0,0,100,1,1
8,750,390,174.236,0,255,0,0,100,1,1
9,602,337,170.721,0,255,0,0,100,1,1
10,173,368,-92.0067,0,255,0,0,100,1,1
11,840,419,101.623,0,255,0,0,100,1,1
12,437,422,80.9988,0,255,0,0,100,1,1
13,428,407,-162.33,0,255,0,0,100,1,1
14,777,770,-107.874,0,255,0,0,100,1,1
15,739,273,-81.1347,0,255,0,0,100,1,1
16,139,585,-148.352,0,255,0,0,100,1,1
17,422,706,157.965,0,255,0,0,100,1,1
18,132,475,3.18992,0,255,0,0,100,1,1
19,633,842,171.297,0,255,0,0,100,1,1
20,736,504,29.7259,0,255,0,0,100,1,1
21,654,165,-97.086,0,255,0,0,100,1,1
22,239,348,69.8449,0,255,0,0,100,1,1
23,260,594,112.674,0,255,0,0,100,1,1
24,602,852,62.8319,0,255,0,0,100,1,1
25,311,846,-63.1363,0,255,0,0,100,1,1
26,604,928,116.163,0,255,0,0,100,1,1
27,403,590,92.7541,0,255,0,0,100,1,1
28,478,550,61.0709,0,255,0,0,100,1,1
29,288,267,-140.248,0,255,0,0,100,1,1
30,699,347,167.337,0,255,0,0,100,1,1
31,679,902,43.0783,0,255,0,0,100,1,1
32,546,932,13.3389,0,255,0,0,100,1,1
33,419,549,-4.95389,0,255,0,0,100,1,1
34,146,465,-59.5595,0,255,0,0,100,1,1
35,684,763,-10.3499,0,255,0,0,100,1,1
36,689,699,134.231,0,255,0,0,100,1,1
37,558,850,43.1578,0,255,0,0,100,1,1
38,642,519,-156.753,0,255,0,0,100,1,1
39,334,406,-121.506,0,255,0,0,100,1,1
40,815,183,-91.1831,0,255,0,0,100,1,1
41,553,52,-34.9944,0,255,0,0,100,1,1
42,236,299,77.679,0,255,0,0,100,1,1
43,809,299,-7.41277,0,255,0,0,100,1,1
44,140,765,41.4446,0,255,0,0,100,1,1
45,592,44,60.1588,0,255,0,0,100,1,1
46,479,178,161.728,0,255,0,0,100,1,1
47,465,100,-53.7516,0,255,0,0,100,1,1
48,783,534,55.0682,0,255,0,0,100,1,1
49,139,498,-86.2402,0,255,0,0,100,1,1
50,891,412,-168.833,0,255,0,0,100,1,1
51,351,108,137.235,0,255,0,0,100,1,1
52,379,172,20.6299,0,255,0,0,100,1,1
53,591,322,43.3204,0,255,0,0,100,1,1
54,898,696,143.239,0,255,0,0,100,1,1
55,433,384,-73.8254,0,255,0,0,100,1,1
56,570,545,-125.249,0,255,0,0,100,1,1
57,798,315,-5.48649,0,255,0,0,100,1,1
58,415,665,128.109,0,255,0,0,100,1,1
59,441,302,-75.1708,0,255,0,0,100,1,1
60,722,439,26.7451,0,255,0,0,100,1,1
61,499,68,96.5162,0,255,0,0,100,1,1
62,350,770,-71.6793,0,255,0,0,100,1,1
63,594,782,48.2549,0,255,0,0,100,1,1
64,446,221,-139.709,0,255,0,0,100,1,1
65,599,439,-166.248,0,255,0,0,100,1,1
66,670,618,-35.432,0,255,0,0,100,1,1
67,531,779,-93.5061,0,255,0,0,100,1,1
68,690,772,121.889,0,255,0,0,100,1,1
69,822,450,103.362,0,255,0,0,100,1,1
70,690,930,-70.4143,0,255,0,0,100,1,1
71,364,581,106.551,0,255,0,0,100,1,1
72,637,426,9.41894,0,255,0,0,100,1,1
73,856,406,22.5996,0,255,0,0,100,1,1
74,508,696,0.435058,0,255,0,0,100,1,1
75,347,748,73.5411,0,255,0,0,100,1,1
76,201,336,43.2423,0,255,0,0,100,1,1
77,296,515,87.749,0,255,0,0,100,1,1
78,49,547,-30.7592,0,255,0,0,100,1,1
79,295,661,17.0528,0,255,0,0,100,1,1
80,908,322,-138.204,0,255,0,0,100,1,1
81,725,552,134.248,0,255,0,0,100,1,1
82,622,643,-137.82,0,255,0,0,100,1,1
83,613,653,112.908,0,255,0,0,100,1,1
84,734,497,-31.7961,0,255,0,0,100,1,1
85,91,668,73.9072,0,255,0,0,100,1,1
86,667,53,-170.799,0,255,0,0,100,1,1
87,792,305,124.514,0,255,0,0,100,1,1
88,212,240,92.8614,0,255,0,0,100,1,1
89,630,392,39.3099,0,255,0,0,100,1,1
90,374,202,-36.9406,0,255,0,0,100,1,1
91,945,382,-31.7363,0,255,0,0,100,1,1
92,451,104,104.907,0,255,0,0,100,1,1
93,579,285,-156.884,0,255,0,0,100,1,1
94,279,695,99.6104,0,255,0,0,100,1,1
95,899,620,-22.622,0,255,0,0,100,1,1
96,134,693,151.294,0,255,0,0,100,1,1
97,95,272,-146.6,0,255,0,0,100,1,1
98,218,582,-148.952,0,255,0,0,100,1,1
99,490,624,-86.822,0,255,0,0,100,1,1
100,621,304,127.289,0,255,0,0,100,1,1
101,354,561,106.931,0,255,0,0,100,1,1
102,769,836,56.0846,0,255,0,0,100,1,1
103,254,458,118.754,0,255,0,0,100,1,1
104,99,249,-101.116,0,255,0,0,100,1,1
105,796,521,150.684,0,255,0,0,100,1,1
106,486,459,79.1039,0,255,0,0,100,1,1
107,797,684,-10.8835,0,255,0,0,100,1,1
108,283,533,-132.6,0,255,0,0,100,1,1
109,476,507,121.605,0,255,0,0,100,1,1
110,881,235,-89.3145,0,255,0,0,100,1,1
