### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,38,427,-75.8437,0,255,0,0,100,1,1
1,474,701,89.8279,0,255,0,0,100,1,1
2,705,598,52.9278,0,255,0,0,100,1,1
3,305,828,-61.4942,0,255,0,0,100,1,1
4,956,415,85.449,0,255,0,0,100,1,1
5,793,518,174.726,0,255,0,0,100,1,1
6,735,567,170.547,0,255,0,0,100,1,1
7,288,371,65.1416,0,255,0,0,100,1,1
8,603,487,166.576,0,255,0,0,100,1,1
9,730,536,-75.517,0,255,0,0,100,1,1
10,651,79,-65.5734,0,255,0,0,100,1,1
11,524,223,10.4103,0,255,0,0,100,1,1
12,296,319,166.596,0,255,0,0,100,1,1
13,825,715,92.6733,0,255,0,0,100,1,1
14,177,408,-117.138,0,255,0,0,100,1,1
15,716,418,-91.4434,0,255,0,0,100,1,1
16,699,802,-89.8343,0,255,0,0,100,1,1
17,846,487,-114.813,0,255,0,0,100,1,1
18,545,543,-21.6215,0,255,0,0,100,1,1
19,702,77,-95.8264,0,255,0,0,100,1,1
20,936,650,-61.9928,0,255,0,0,100,1,1
21,909,526,21.2478,0,255,0,0,100,1,1
22,384,464,63.4006,0,255,0,0,100,1,1
23,667,919,-126.723,0,255,0,0,100,1,1
24,758,101,64.2383,0,255,0,0,100,1,1
25,233,798,4.04677,0,255,0,0,100,1,1
26,290,439,-164.795,0,255,0,0,100,1,1
27,274,579,4.489,0,255,0,0,100,1,1
28,824,516,124.847,0,255,0,0,100,1,1
29,631,557,-134.018,0,255,0,0,100,1,1
30,519,530,39.6481,0,255,0,0,100,1,1
31,468,333,18.494,0,255,0,0,100,1,1
32,491,361,-147.404,0,255,0,0,100,1,1
33,200,596,-10.9845,0,255,0,0,100,1,1
34,183,341,-155.667,0,255,0,0,100,1,1
35,435,913,-86.1745,0,255,0,0,100,1,1
36,299,680,125.769,0,255,0,0,100,1,1
37,306,888,165.478,0,255,0,0,100,1,1
38,699,350,99.6284,0,255,0,0,100,1,1
39,159,614,-162.468,0,255,0,0,100,1,1
40,848,289,64.6751,0,255,0,0,100,1,1
41,251,173,-149.415,0,255,0,0,100,1,1
42,464,833,-71.7185,0,255,0,0,100,1,1
43,146,736,12.6891,0,255,0,0,100,1,1
44,193,393,-164.963,0,255,0,0,100,1,1
45,693,395,-62.2221,0,255,0,0,100,1,1
46,425,675,115.634,0,255,0,0,100,1,1
47,229,310,-80.2483,0,255,0,0,100,1,1
48,385,75,152.465,0,255,0,0,100,1,1
49,308,300,-38.7209,0,255,0,0,100,1,1
50,242,118,-75.6734,0,255,0,0,100,1,1
51,357,443,-60.0635,0,255,0,0,100,1,1
52,447,217,145.979,0,255,0,0,100,1,1
53,302,292,-29.3355,0,255,0,0,100,1,1
54,540,794,101.982,0,255,0,0,100,1,1
55,916,300,-41.378,0,255,0,0,100,1,1
56,706,230,45.4355,0,255,0,0,100,1,1
57,907,478,-12.7191,0,255,0,0,100,1,1
58,953,396,-19.2344,0,255,0,0,100,1,1
59,821,621,-27.0064,0,255,0,0,100,1,1
60,393,864,-24.3322,0,255,0,0,100,1,1
61,324,533,129.201,0,255,0,0,100,1,1
62,401,324,-12.1797,0,255,0,0,100,1,1
63,159,675,166.74,0,255,0,0,100,1,1
64,275,625,-120.235,0,255,0,0,100,1,1
65,73,360,-56.866,0,255,0,0,100,1,1
66,365,343,136.096,0,255,0,0,100,1,1
67,928,468,-23.3144,0,255,0,0,100,1,1
68,518,445,-53.3668,0,255,0,0,100,1,1
69,844,275,-162.598,0,255,0,0,100,1,1
70,784,201,19.6473,0,255,0,0,100,1,1
71,419,484,174.99,0,255,0,0,100,1,1
72,567,317,-16.1967,0,255,0,0,100,1,1
73,192,730,-88.1786,0,255,0,0,100,1,1
74,688,832,-89.2149,0,255,0,0,100,1,1
75,611,746,-100.357,0,255,0,0,100,1,1
76,920,497,5.06036,0,255,0,0,100,1,1
77,658,808,90.397,0,255,0,0,100,1,1
78,606,553,153.011,0,255,0,0,100,1,1
79,307,340,68.087,0,255,0,0,100,1,1
80,526,87,154.732,0,255,0,0,100,1,1
81,897,721,94.4019,0,255,0,0,100,1,1
82,60,597,34.8504,0,255,0,0,100,1,1
83,704,539,5.27316,0,255,0,0,100,1,1
84,292,243,-117.988,0,255,0,0,100,1,1
85,248,120,153.785,0,255,0,0,100,1,1
86,662,95,-55.4506,0,255,0,0,100,1,1
87,887,683,-104.454,0,255,0,0,100,1,1
88,507,932,-66.8023,0,255,0,0,100,1,1
89,518,631,-81.564,0,255,0,0,100,1,1
90,681,888,90.1271,0,255,0,0,100,1,1
91,790,644,111.693,0,255,0,0,100,1,1
92,322,786,-102.37,0,255,0,0,100,1,1
93,482,197,25.8717,0,255,0,0,100,1,1
94,218,877,-151.435,0,255,0,0,100,1,1
95,102,701,87.2566,0,255,0,0,100,1,1
96,640,912,21.4355,0,255,0,0,100,1,1
97,135,284,80.09,0,255,0,0,100,1,1
98,412,187,15.0171,0,255,0,0,100,1,1
99,452,58,2.62983,0,255,0,0,100,1,1
100,761,343,-60.3148,0,255,0,0,100,1,1
101,379,107,69.5658,0,255,0,0,100,1,1
102,293,580,92.0705,0,255,0,0,100,1,1
103,577,843,-16.8559,0,255,0,0,100,1,1
104,448,788,-130.96,0,255,0,0,100,1,1
105,475,465,-97.4415,0,255,0,0,100,1,1
106,747,514,-4.86172,0,255,0,0,100,1,1
107,222,227,118.3,0,255,0,0,100,1,1
108,138,441,-109.035,0,255,0,0,100,1,1
109,534,391,-77.2803,0,255,0,0,100,1,1
110,781,232,-21.1865,0,255,0,0,100,1,1
111,199,626,-126.123,0,255,0,0,100,1,1
112,252,720,72.1525,0,255,0,0,100,1,1
113,201,341,78.5815,0,255,0,0,100,1,1
114,942,359,-10.7316,0,255,0,0,100,1,1
115,815,163,5.78266,0,255,0,0,100,1,1
116,433,940,145.787,0,255,0,0,100,1,1
117,466,376,60.6703,0,255,0,0,100,1,1
118,416,359,125.055,0,255,0,0,100,1,1
119,377,724,77.2255,0,255,0,0,100,1,1
120,502,953,-114.899,0,255,0,0,100,1,1
121,235,610,-8.6321,0,255,0,0,100,1,1
122,800,596,-53.6423,0,255,0,0,100,1,1
123,800,194,78.8715,0,255,0,0,100,1,1
124,271,256,90.0037,0,255,0,0,100,1,1
125,291,661,145.182,0,255,0,0,100,1,1
126,909,357,79.0895,0,255,0,0,100,1,1
127,94,453,-13.5057,0,255,0,0,100,1,1
128,371,732,-75.9059,0,255,0,0,100,1,1
129,939,516,-129.119,0,255,0,0,100,1,1
130,197,678,177.154,0,255,0,0,100,1,1
131,266,889,-36.0949,0,255,0,0,100,1,1
132,524,505,-172.241,0,255,0,0,100,1,1
133,268,81,-24.7014,0,255,0,0,100,1,1
134,198,817,53.751,0,255,0,0,100,1,1
135,169,169,162.58,0,255,0,0,100,1,1
136,745,535,-42.8498,0,255,0,0,100,1,1
137,190,552,32.3132,0,255,0,0,100,1,1
138,777,827,-45.2272,0,255,0,0,100,1,1
139,371,945,-128.617,0,255,0,0,100,1,1
140,934,676,-112.926,0,255,0,0,100,1,1
141,702,445,15.5513,0,255,0,0,100,1,1
142,830,367,-175.677,0,255,0,0,100,1,1
143,390,354,-45.7982,0,255,0,0,100,1,1
144,808,290,-121.609,0,255,0,0,100,1,1
145,304,928,94.9659,0,255,0,0,100,1,1
146,746,619,83.9763,0,255,0,0,100,1,1
147,690,426,103.818,0,255,0,0,100,1,1
148,487,22,-105.923,0,255,0,0,100,1,1
149,321,329,-67.57,0,255,0,0,100,1,1
150,504,968,-165.074,0,255,0,0,100,1,1
151,600,713,79.0858,0,255,0,0,100,1,1
152,628,713,-176.689,0,255,0,0,100,1,1
153,678,352,145.574,0,255,0,0,100,1,1
154,343,751,-109.954,0,255,0,0,100,1,1
155,349,630,92.9912,0,255,0,0,100,1,1
156,733,849,-93.0343,0,255,0,0,100,1,1
157,406,463,76.1929,0,255,0,0,100,1,1
158,147,713,67.8059,0,255,0,0,100,1,1
159,817,316,-61.8822,0,255,0,0,100,1,1
160,607,436,-87.4539,0,255,0,0,100,1,1
161,464,883,-20.6894,0,255,0,0,100,1,1
162,404,419,89.9261,0,255,0,0,100,1,1
163,798,821,67.6907,0,255,0,0,100,1,1
164,410,787,-12.5193,0,255,0,0,100,1,1
165,763,539,-103.972,0,255,0,0,100,1,1
166,648,624,-58.6894,0,255,0,0,100,1,1
167,219,154,167.974,0,255,0,0,100,1,1
168,598,166,-22.1652,0,255,0,0,100,1,1
169,755,683,-83.027,0,255,0,0,100,1,1
170,485,50,153.179,0,255,0,0,100,1,1
171,767,759,-155.924,0,255,0,0,100,1,1
172,284,794,9.13048,0,255,0,0,100,1,1
173,437,726,20.3824,0,255,0,0,100,1,1
174,436,884,72.8063,0,255,0,0,100,1,1
175,856,570,26.9933,0,255,0,0,100,1,1
176,613,649,-61.6945,0,255,0,0,100,1,1
177,840,319,-46.1991,0,255,0,0,100,1,1
178,724,642,50.2502,0,255,0,0,100,1,1
179,811,536,-60.2521,0,255,0,0,100,1,1
180,667,543,112.285,0,255,0,0,100,1,1
181,874,718,0.250834,0,255,0,0,100,1,1
182,440,183,34.1471,0,255,0,0,100,1,1
183,231,883,-169.577,0,255,0,0,100,1,1
184,471,125,-175.915,0,255,0,0,100,1,1
185,683,896,24.3395,0,255,0,0,100,1,1
186,605,452,-138.491,0,255,0,0,100,1,1
187,739,665,-169.467,0,255,0,0,100,1,1
188,415,562,-21.2461,0,255,0,0,100,1,1
189,537,841,93.6333,0,255,0,0,100,1,1
190,251,823,68.0667,0,255,0,0,100,1,1
191,409,813,-118.263,0,255,0,0,100,1,1
192,820,547,99.9198,0,255,0,0,100,1,1
193,432,294,79.4496,0,255,0,0,100,1,1
194,671,272,-142.236,0,255,0,0,100,1,1
195,472,430,-153.94,0,255,0,0,100,1,1
196,397,469,-5.42608,0,255,0,0,100,1,1
197,358,290,50.2087,0,255,0,0,100,1,1
198,390,294,107.18,0,255,0,0,100,1,1
199,587,309,155.747,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
