### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,240,228,117.305,0,255,0,0,100,1,1
1,388,334,-176.417,0,255,0,0,100,1,1
2,881,485,30.7852,0,255,0,0,100,1,1
3,758,217,-86.0707,0,255,0,0,100,1,1
4,116,487,-138.509,0,255,0,0,100,1,1
5,731,616,46.7142,0,255,0,0,100,1,1
6,728,168,-105.886,0,255,0,0,100,1,1
7,332,573,-27.6036,0,255,0,0,100,1,1
8,201,133,15.074,0,255,0,0,100,1,1
9,670,220,84.1909,0,255,0,0,100,1,1
10,173,190,-130.302,0,255,0,0,100,1,1
11,739,681,165.338,0,255,0,0,100,1,1
12,744,670,-109.591,0,255,0,0,100,1,1
13,606,810,-58.609,0,255,0,0,100,1,1
14,299,430,-126.51,0,255,0,0,100,1,1
15,456,831,-83.216,0,255,0,0,100,1,1
16,121,776,130.045,0,255,0,0,100,1,1
17,448,905,-6.05727,0,255,0,0,100,1,1
18,497,958,25.9757,0,255,0,0,100,1,1
19,656,320,-83.9084,0,255,0,0,100,1,1
20,265,382,29.0047,0,255,0,0,100,1,1
21,537,450,6.96729,0,255,0,0,100,1,1
22,749,871,38.0586,0,255,0,0,100,1,1
23,396,841,121.271,0,255,0,0,100,1,1
24,729,654,-118.054,0,255,0,0,100,1,1
25,701,160,-120.26,0,255,0,0,100,1,1
26,385,881,-144.835,0,255,0,0,100,1,1
27,98,625,-69.9105,0,255,0,0,100,1,1
28,537,350,-169.813,0,255,0,0,100,1,1
29,729,701,-6.02227,0,255,0,0,100,1,1
30,354,456,179.432,0,255,0,0,100,1,1
31,291,437,-100.653,0,255,0,0,100,1,1
32,576,548,-26.8164,0,255,0,0,100,1,1
33,844,594,-91.3345,0,255,0,0,100,1,1
34,92,553,-77.4057,0,255,0,0,100,1,1
35,117,357,-175.543,0,255,0,0,100,1,1
36,427,512,98.6224,0,255,0,0,100,1,1
37,437,953,-107.118,0,255,0,0,100,1,1
38,714,383,-103.351,0,255,0,0,100,1,1
39,551,792,-51.7663,0,255,0,0,100,1,1
40,417,397,-136.229,0,255,0,0,100,1,1
41,83,530,-62.0183,0,255,0,0,100,1,1
42,22,494,-117.571,0,255,0,0,100,1,1
43,143,542,-89.2843,0,255,0,0,100,1,1
44,93,748,145.248,0,255,0,0,100,1,1
45,733,761,109.041,0,255,0,0,100,1,1
46,539,345,49.8108,0,255,0,0,100,1,1
47,794,150,52.6383,0,255,0,0,100,1,1
48,672,752,-122.685,0,255,0,0,100,1,1
49,225,237,-112.202,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
