### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,521,145,32.8456,0,255,0,0,100,1,1
1,394,241,-136.291,0,255,0,0,100,1,1
2,718,203,-107.078,0,255,0,0,100,1,1
3,775,214,174.21,0,255,0,0,100,1,1
4,304,910,-87.4137,0,255,0,0,100,1,1
5,790,518,-59.5534,0,255,0,0,100,1,1
6,272,212,-94.6259,0,255,0,0,100,1,1
7,842,548,-5.5376,0,255,0,0,100,1,1
8,363,445,-152.546,0,255,0,0,100,1,1
9,92,296,-0.716637,0,255,0,0,100,1,1
10,657,848,-104.084,0,255,0,0,100,1,1
11,537,94,-11.1674,0,255,0,0,100,1,1
12,843,333,-125.444,0,255,0,0,100,1,1
13,176,754,73.8956,0,255,0,0,100,1,1
14,282,391,-21.2977,0,255,0,0,100,1,1
15,505,969,169.213,0,255,0,0,100,1,1
16,713,767,177.723,0,255,0,0,100,1,1
17,461,505,156.892,0,255,0,0,100,1,1
18,742,793,-150.855,0,255,0,0,100,1,1
19,719,282,68.2268,0,255,0,0,100,1,1
20,721,461,-55.9641,0,255,0,0,100,1,1
21,483,372,70.6179,0,255,0,0,100,1,1
22,612,360,17.1631,0,255,0,0,100,1,1
23,597,836,-120.759,0,255,0,0,100,1,1
24,874,680,-168.104,0,255,0,0,100,1,1
25,738,410,94.3721,0,255,0,0,100,1,1
26,461,972,171.831,0,255,0,0,100,1,1
27,265,409,-29.2378,0,255,0,0,100,1,1
28,688,344,65.3533,0,255,0,0,100,1,1
29,498,423,-106.99,0,255,0,0,100,1,1
30,377,310,136.36,0,255,0,0,100,1,1
31,60,403,54.3011,0,255,0,0,100,1,1
32,651,481,83.8271,0,255,0,0,100,1,1
33,705,96,-163.345,0,255,0,0,100,1,1
34,869,534,137.351,0,255,0,0,100,1,1
35,143,539,134.96,0,255,0,0,100,1,1
36,385,567,-150.013,0,255,0,0,100,1,1
37,564,157,-47.0886,0,255,0,0,100,1,1
38,507,769,-33.7252,0,255,0,0,100,1,1
39,581,762,-155.458,0,255,0,0,100,1,1
40,458,670,47.0692,0,255,0,0,100,1,1
41,399,223,51.0956,0,255,0,0,100,1,1
42,639,409,140.008,0,255,0,0,100,1,1
43,553,301,-4.88016,0,255,0,0,100,1,1
44,601,533,-111.066,0,255,0,0,100,1,1
45,380,143,-65.6026,0,255,0,0,100,1,1
46,596,74,-151.363,0,255,0,0,100,1,1
47,461,334,35.2975,0,255,0,0,100,1,1
48,559,119,138.557,0,255,0,0,100,1,1
49,769,204,-169.831,0,255,0,0,100,1,1
50,78,676,172.582,0,255,0,0,100,1,1
51,597,354,0.418538,0,255,0,0,100,1,1
52,626,897,112.557,0,255,0,0,100,1,1
53,210,304,-85.4344,0,255,0,0,100,1,1
54,295,748,46.5771,0,255,0,0,100,1,1
55,747,369,112.125,0,255,0,0,100,1,1
56,412,918,-80.2761,0,255,0,0,100,1,1
57,933,417,111.043,0,255,0,0,100,1,1
58,455,760,-170.556,0,255,0,0,100,1,1
59,869,245,18.6453,0,255,0,0,100,1,1
60,620,499,-91.6657,0,255,0,0,100,1,1
61,919,554,-14.0417,0,255,0,0,100,1,1
62,662,66,-85.7744,0,255,0,0,100,1,1
63,721,197,23.9471,0,255,0,0,100,1,1
64,130,593,68.3123,0,255,0,0,100,1,1
65,760,684,-98.4266,0,255,0,0,100,1,1
66,812,283,74.041,0,255,0,0,100,1,1
67,34,583,-119.09,0,255,0,0,100,1,1
68,721,402,-178.679,0,255,0,0,100,1,1
69,433,495,162.16,0,255,0,0,100,1,1
70,55,650,65.8948,0,255,0,0,100,1,1
71,268,843,-135.886,0,255,0,0,100,1,1
72,125,551,140.849,0,255,0,0,100,1,1
73,573,733,-109.146,0,255,0,0,100,1,1
