### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,795,201,-3.65983,0,255,0,0,100,1,1
1,673,780,83.6721,0,255,0,0,100,1,1
2,360,102,-91.1056,0,255,0,0,100,1,1
3,784,499,-111.558,0,255,0,0,100,1,1
4,427,955,-102.84,0,255,0,0,100,1,1
5,880,288,-7.56912,0,255,0,0,100,1,1
6,328,847,-65.4098,0,255,0,0,100,1,1
7,530,623,-74.0761,0,255,0,0,100,1,1
8,891,238,149.613,0,255,0,0,100,1,1
9,276,597,-117.817,0,255,0,0,100,1,1
10,839,262,-139.09,0,255,0,0,100,1,1
11,673,125,-45.4177,0,255,0,0,100,1,1
12,499,463,61.7406,0,255,0,0,100,1,1
13,345,195,81.6947,0,255,0,0,100,1,1
14,430,309,66.6513,0,255,0,0,100,1,1
15,473,136,-177.951,0,255,0,0,100,1,1
16,267,315,-143.4,0,255,0,0,100,1,1
17,173,736,-26.3737,0,255,0,0,100,1,1
18,70,523,35.8507,0,255,0,0,100,1,1
19,770,650,4.99634,0,255,0,0,100,1,1
20,76,704,59.7477,0,255,0,0,100,1,1
21,922,515,-69.2454,0,255,0,0,100,1,1
22,124,345,28.1596,0,255,0,0,100,1,1
23,856,703,-143.841,0,255,0,0,100,1,1
24,102,253,28.0117,0,255,0,0,100,1,1
25,875,744,-9.74953,0,255,0,0,100,1,1
26,568,105,105.13,0,255,0,0,100,1,1
27,700,921,113.228,0,255,0,0,100,1,1
28,299,745,-150.385,0,255,0,0,100,1,1
29,190,731,72.1516,0,255,0,0,100,1,1
30,244,432,106.158,0,255,0,0,100,1,1
31,735,454,-106.57,0,255,0,0,100,1,1
32,178,495,-21.7484,0,255,0,0,100,1,1
33,532,595,-51.8266,0,255,0,0,100,1,1
34,534,570,89.6738,0,255,0,0,100,1,1
35,665,589,-52.7659,0,255,0,0,100,1,1
36,209,335,43.3343,0,255,0,0,100,1,1
37,398,246,22.209,0,255,0,0,100,1,1
38,147,272,25.0044,0,255,0,0,100,1,1
39,599,866,116.62,0,255,0,0,100,1,1
40,579,354,144.514,0,255,0,0,100,1,1
41,383,476,15.8777,0,255,0,0,100,1,1
42,490,67,-158.902,0,255,0,0,100,1,1
43,718,199,169.956,0,255,0,0,100,1,1
44,506,109,-39.8801,0,255,0,0,100,1,1
45,363,953,105.861,0,255,0,0,100,1,1
46,850,276,126.704,0,255,0,0,100,1,1
47,555,53,34.4393,0,255,0,0,100,1,1
48,773,732,-133.937,0,255,0,0,100,1,1
