### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,511,683,-99.8723,0,255,0,0,100,1,1
1,807,725,-89.0376,0,255,0,0,100,1,1
2,324,183,-76.8641,0,255,0,0,100,1,1
3,745,282,122.792,0,255,0,0,100,1,1
4,460,787,-33.4041,0,255,0,0,100,1,1
5,468,802,109.083,0,255,0,0,100,1,1
6,640,429,-49.9712,0,255,0,0,100,1,1
7,350,589,-74.2108,0,255,0,0,100,1,1
8,824,765,155.677,0,255,0,0,100,1,1
9,675,546,-176.504,0,255,0,0,100,1,1
10,673,460,151.218,0,255,0,0,100,1,1
11,392,554,146.937,0,255,0,0,100,1,1
12,655,888,19.0233,0,255,0,0,100,1,1
13,565,396,7.38082,0,255,0,0,100,1,1
14,710,180,145.261,0,255,0,0,100,1,1
15,718,826,11.6875,0,255,0,0,100,1,1
16,436,732,-100.783,0,255,0,0,100,1,1
17,607,341,-62.9752,0,255,0,0,100,1,1
18,525,396,-20.9099,0,255,0,0,100,1,1
19,234,201,32.6392,0,255,0,0,100,1,1
20,828,308,-131.11,0,255,0,0,100,1,1
21,877,307,-26.3807,0,255,0,0,100,1,1
22,491,167,-86.3973,0,255,0,0,100,1,1
23,361,284,152.091,0,255,0,0,100,1,1
24,634,727,-152.142,0,255,0,0,100,1,1
25,495,554,144.317,0,255,0,0,100,1,1
26,111,342,140.069,0,255,0,0,100,1,1
27,397,619,-88.5685,0,255,0,0,100,1,1
28,169,694,-177.603,0,255,0,0,100,1,1
29,324,357,104.035,0,255,0,0,100,1,1
30,778,494,125.219,0,255,0,0,100,1,1
31,402,283,-112.987,0,255,0,0,100,1,1
32,440,952,150.375,0,255,0,0,100,1,1
33,683,249,-141.778,0,255,0,0,100,1,1
34,340,615,-130.255,0,255,0,0,100,1,1
35,716,144,-128.943,0,255,0,0,100,1,1
36,611,422,33.5447,0,255,0,0,100,1,1
37,936,596,14.3571,0,255,0,0,100,1,1
38,275,342,29.6606,0,255,0,0,100,1,1
39,746,187,-77.6748,0,255,0,0,100,1,1
40,660,619,170.889,0,255,0,0,100,1,1
41,183,388,-77.8831,0,255,0,0,100,1,1
42,519,160,-146.033,0,255,0,0,100,1,1
43,334,195,141.256,0,255,0,0,100,1,1
44,375,211,-124.983,0,255,0,0,100,1,1
45,748,873,-117.763,0,255,0,0,100,1,1
46,900,438,-170.266,0,255,0,0,100,1,1
47,670,153,-90.0084,0,255,0,0,100,1,1
48,591,164,-1.68587,0,255,0,0,100,1,1
49,344,925,14.5813,0,255,0,0,100,1,1
50,775,748,87.408,0,255,0,0,100,1,1
51,848,489,19.9602,0,255,0,0,100,1,1
52,932,304,86.7301,0,255,0,0,100,1,1
53,365,534,-82.9493,0,255,0,0,100,1,1
54,313,262,-63.3168,0,255,0,0,100,1,1
55,959,588,104.699,0,255,0,0,100,1,1
56,83,355,-100.283,0,255,0,0,100,1,1
57,84,601,170.089,0,255,0,0,100,1,1
58,168,585,59.6599,0,255,0,0,100,1,1
59,293,346,-167.163,0,255,0,0,100,1,1
60,744,128,-7.70526,0,255,0,0,100,1,1
61,906,668,-40.4776,0,255,0,0,100,1,1
62,65,360,-45.0517,0,255,0,0,100,1,1
63,159,228,40.4055,0,255,0,0,100,1,1
64,661,888,130.302,0,255,0,0,100,1,1
65,797,813,131.964,0,255,0,0,100,1,1
66,238,582,126.217,0,255,0,0,100,1,1
67,664,562,124.991,0,255,0,0,100,1,1
68,729,727,-106.763,0,255,0,0,100,1,1
69,178,651,98.0787,0,255,0,0,100,1,1
70,876,384,121.159,0,255,0,0,100,1,1
71,502,425,112.301,0,255,0,0,100,1,1
72,772,642,175.257,0,255,0,0,100,1,1
73,582,290,-131.64,0,255,0,0,100,1,1
