### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,606,428,46.0114,0,255,0,0,100,1,1
1,384,488,27.3585,0,255,0,0,100,1,1
2,137,653,133.003,0,255,0,0,100,1,1
3,834,259,-103.83,0,255,0,0,100,1,1
4,326,676,2.65797,0,255,0,0,100,1,1
5,611,230,88.916,0,255,0,0,100,1,1
6,319,872,121.309,0,255,0,0,100,1,1
7,569,351,64.3689,0,255,0,0,100,1,1
8,626,483,-15.8303,0,255,0,0,100,1,1
9,284,708,-114.155,0,255,0,0,100,1,1
10,240,242,164.606,0,255,0,0,100,1,1
11,923,560,-91.4678,0,255,0,0,100,1,1
12,331,554,55.1775,0,255,0,0,100,1,1
13,218,850,95.5282,0,255,0,0,100,1,1
14,464,333,-17.8295,0,255,0,0,100,1,1
15,662,421,-150.251,0,255,0,0,100,1,1
16,310,264,163.493,0,255,0,0,100,1,1
17,825,292,-56.1946,0,255,0,0,100,1,1
18,253,276,-28.3898,0,255,0,0,100,1,1
19,620,220,12.4975,0,255,0,0,100,1,1
20,362,633,101.687,0,255,0,0,100,1,1
21,86,331,167.323,0,255,0,0,100,1,1
22,176,817,121.352,0,255,0,0,100,1,1
23,304,102,-175.652,0,255,0,0,100,1,1
24,382,666,113.79,0,255,0,0,100,1,1
25,862,364,-173.317,0,255,0,0,100,1,1
26,287,411,161.472,0,255,0,0,100,1,1
27,828,657,86.3518,0,255,0,0,100,1,1
28,45,629,-4.29731,0,255,0,0,100,1,1
29,659,277,-6.58863,0,255,0,0,100,1,1
30,467,132,-53.3756,0,255,0,0,100,1,1
31,483,410,-90.4867,0,255,0,0,100,1,1
32,416,627,37.7376,0,255,0,0,100,1,1
33,459,51,-165.563,0,255,0,0,100,1,1
34,536,668,-44.7622,0,255,0,0,100,1,1
35,892,431,-43.401,0,255,0,0,100,1,1
36,443,482,-80.6674,0,255,0,0,100,1,1
37,408,347,100.36,0,255,0,0,100,1,1
38,168,475,-16.7245,0,255,0,0,100,1,1
39,630,678,100.204,0,255,0,0,100,1,1
40,769,614,170.187,0,255,0,0,100,1,1
41,558,64,103.761,0,255,0,0,100,1,1
42,519,450,34.1889,0,255,0,0,100,1,1
43,322,882,-2.88348,0,255,0,0,100,1,1
44,479,135,-116.085,0,255,0,0,100,1,1
45,548,519,-130.845,0,255,0,0,100,1,1
46,141,447,26.9087,0,255,0,0,100,1,1
47,793,712,-162.743,0,255,0,0,100,1,1
48,844,399,127.19,0,255,0,0,100,1,1
49,879,341,-2.55525,0,255,0,0,100,1,1
50,795,398,15.5699,0,255,0,0,100,1,1
51,552,825,57.6245,0,255,0,0,100,1,1
52,266,824,-42.3184,0,255,0,0,100,1,1
53,65,549,-158.927,0,255,0,0,100,1,1
54,804,171,-129.932,0,255,0,0,100,1,1
55,428,468,82.4473,0,255,0,0,100,1,1
