### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,334,177,176.818,0,255,0,0,100,1,1
1,359,372,108.709,0,255,0,0,100,1,1
2,563,92,-93.5575,0,255,0,0,100,1,1
3,272,137,-41.0236,0,255,0,0,100,1,1
4,909,498,156.241,0,255,0,0,100,1,1
5,290,754,55.2553,0,255,0,0,100,1,1
6,78,644,-139.729,0,255,0,0,100,1,1
7,699,528,-124.555,0,255,0,0,100,1,1
8,546,794,121.024,0,255,0,0,100,1,1
9,711,572,-175.986,0,255,0,0,100,1,1
10,231,662,119.439,0,255,0,0,100,1,1
11,71,490,60.8625,0,255,0,0,100,1,1
12,155,400,-95.4132,0,255,0,0,100,1,1
13,499,466,-164.296,0,255,0,0,100,1,1
14,615,160,124.996,0,255,0,0,100,1,1
15,572,670,135.932,0,255,0,0,100,1,1
16,867,459,49.6034,0,255,0,0,100,1,1
17,144,338,-159.505,0,255,0,0,100,1,1
18,532,598,27.3968,0,255,0,0,100,1,1
19,418,289,144.148,0,255,0,0,100,1,1
20,956,404,-167.848,0,255,0,0,100,1,1
21,534,118,-52.2711,0,255,0,0,100,1,1
22,408,613,-34.5704,0,255,0,0,100,1,1
23,244,113,84.9508,0,255,0,0,100,1,1
24,789,872,31.0918,0,255,0,0,100,1,1
25,447,127,-137.851,0,255,0,0,100,1,1
26,906,329,-41.6858,0,255,0,0,100,1,1
27,748,842,122.245,0,255,0,0,100,1,1
28,590,49,-6.07732,0,255,0,0,100,1,1
29,368,744,31.9682,0,255,0,0,100,1,1
30,742,707,-170.201,0,255,0,0,100,1,1
31,254,436,-64.5936,0,255,0,0,100,1,1
32,140,244,115.845,0,255,0,0,100,1,1
33,295,350,41.6853,0,255,0,0,100,1,1
34,296,928,3.38509,0,255,0,0,100,1,1
35,182,776,42.8496,0,255,0,0,100,1,1
36,62,417,53.19,0,255,0,0,100,1,1
37,748,593,-50.298,0,255,0,0,100,1,1
38,348,300,-29.0648,0,255,0,0,100,1,1
39,443,870,68.7603,0,255,0,0,100,1,1
40,395,178,102.288,0,255,0,0,100,1,1
41,771,611,-42.419,0,255,0,0,100,1,1
42,316,183,-170.043,0,255,0,0,100,1,1
43,768,777,141.453,0,255,0,0,100,1,1
44,667,209,44.055,0,255,0,0,100,1,1
45,693,688,-155.601,0,255,0,0,100,1,1
46,107,675,5.22806,0,255,0,0,100,1,1
47,288,143,-134.116,0,255,0,0,100,1,1
48,778,757,46.678,0,255,0,0,100,1,1
49,238,838,41.2103,0,255,0,0,100,1,1
50,223,515,-22.7584,0,255,0,0,100,1,1
51,718,348,-69.8619,0,255,0,0,100,1,1
52,618,839,-13.7394,0,255,0,0,100,1,1
53,307,326,104.073,0,255,0,0,100,1,1
54,697,152,29.0484,0,255,0,0,100,1,1
55,229,669,-128.614,0,255,0,0,100,1,1
56,269,367,128.631,0,255,0,0,100,1,1
57,326,364,47.02,0,255,0,0,100,1,1
58,773,479,-10.1523,0,255,0,0,100,1,1
59,494,68,-100.238,0,255,0,0,100,1,1
60,591,836,-16.6296,0,255,0,0,100,1,1
61,437,413,-53.4519,0,255,0,0,100,1,1
62,774,428,19.6188,0,255,0,0,100,1,1
63,637,191,-53.406,0,255,0,0,100,1,1
64,652,781,-162.478,0,255,0,0,100,1,1
65,514,370,108.356,0,255,0,0,100,1,1
66,722,302,103.003,0,255,0,0,100,1,1
67,580,483,60.1712,0,255,0,0,100,1,1
68,505,105,-132.188,0,255,0,0,100,1,1
69,236,714,29.6805,0,255,0,0,100,1,1
70,433,345,88.0485,0,255,0,0,100,1,1
71,545,482,39.4116,0,255,0,0,100,1,1
72,719,80,-33.4182,0,255,0,0,100,1,1
73,915,616,-63.8782,0,255,0,0,100,1,1
74,464,874,9.07471,0,255,0,0,100,1,1
75,248,220,172.109,0,255,0,0,100,1,1
76,725,548,-99.4527,0,255,0,0,100,1,1
77,648,208,68.3924,0,255,0,0,100,1,1
78,227,851,-146.265,0,255,0,0,100,1,1
79,425,655,49.3343,0,255,0,0,100,1,1
80,207,444,-93.7856,0,255,0,0,100,1,1
81,309,431,90.5687,0,255,0,0,100,1,1
82,856,237,69.9603,0,255,0,0,100,1,1
83,398,217,96.7175,0,255,0,0,100,1,1
84,719,187,-64.7297,0,255,0,0,100,1,1
85,645,894,113.796,0,255,0,0,100,1,1
86,744,92,64.5404,0,255,0,0,100,1,1
87,562,120,-71.912,0,255,0,0,100,1,1
88,593,889,87.7397,0,255,0,0,100,1,1
89,815,212,-67.9418,0,255,0,0,100,1,1
90,562,738,-4.33228,0,255,0,0,100,1,1
91,132,591,101.016,0,255,0,0,100,1,1
92,610,44,-97.9709,0,255,0,0,100,1,1
93,91,746,116.137,0,255,0,0,100,1,1
94,773,213,146,0,255,0,0,100,1,1
95,455,305,5.65342,0,255,0,0,100,1,1
96,243,128,149.977,0,255,0,0,100,1,1
97,243,599,32.1883,0,255,0,0,100,1,1
98,932,582,153.119,0,255,0,0,100,1,1
99,484,32,18.5921,0,255,0,0,100,1,1
100,633,804,177.788,0,255,0,0,100,1,1
101,821,433,-102.126,0,255,0,0,100,1,1
102,632,412,-1.09661,0,255,0,0,100,1,1
103,647,755,97.9578,0,255,0,0,100,1,1
104,661,816,70.8252,0,255,0,0,100,1,1
105,841,239,-98.9093,0,255,0,0,100,1,1
106,899,746,-142.569,0,255,0,0,100,1,1
107,483,268,-116.433,0,255,0,0,100,1,1
108,421,709,-50.7073,0,255,0,0,100,1,1
109,856,722,104.329,0,255,0,0,100,1,1
110,450,278,63.9064,0,255,0,0,100,1,1
111,954,476,-121.055,0,255,0,0,100,1,1
112,159,302,-149.119,0,255,0,0,100,1,1
113,915,438,22.5514,0,255,0,0,100,1,1
114,368,520,178.879,0,255,0,0,100,1,1
115,321,110,22.5542,0,255,0,0,100,1,1
116,782,243,-78.7178,0,255,0,0,100,1,1
117,441,476,12.2106,0,255,0,0,100,1,1
118,374,615,124.169,0,255,0,0,100,1,1
119,97,699,93.7705,0,255,0,0,100,1,1
120,712,416,132.136,0,255,0,0,100,1,1
121,229,247,-122.316,0,255,0,0,100,1,1
122,880,422,146.658,0,255,0,0,100,1,1
123,216,732,173.918,0,255,0,0,100,1,1
124,868,555,38.9714,0,255,0,0,100,1,1
125,839,275,-116.747,0,255,0,0,100,1,1
126,637,92,133.67,0,255,0,0,100,1,1
127,284,244,76.7857,0,255,0,0,100,1,1
128,599,226,-41.0621,0,255,0,0,100,1,1
129,236,493,-177.576,0,255,0,0,100,1,1
130,689,792,96.3911,0,255,0,0,100,1,1
131,317,196,-80.4253,0,255,0,0,100,1,1
132,543,961,-97.9436,0,255,0,0,100,1,1
133,286,280,-100.279,0,255,0,0,100,1,1
134,540,362,-107.778,0,255,0,0,100,1,1
135,698,308,19.1118,0,255,0,0,100,1,1
136,558,33,-177.856,0,255,0,0,100,1,1
137,568,575,12.4931,0,255,0,0,100,1,1
138,713,752,-81.0823,0,255,0,0,100,1,1
139,353,535,37.3162,0,255,0,0,100,1,1
140,875,676,-21.6154,0,255,0,0,100,1,1
141,269,806,24.3231,0,255,0,0,100,1,1
142,30,476,-120.052,0,255,0,0,100,1,1
143,595,111,-17.4584,0,255,0,0,100,1,1
144,928,535,-17.0473,0,255,0,0,100,1,1
145,849,629,30.6485,0,255,0,0,100,1,1
146,894,385,40.9378,0,255,0,0,100,1,1
147,438,339,-169.58,0,255,0,0,100,1,1
148,337,599,-82.3127,0,255,0,0,100,1,1
149,621,467,69.9663,0,255,0,0,100,1,1
