### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,167,519,-157.744,0,255,0,0,100,1,1
1,49,596,-40.7281,0,255,0,0,100,1,1
2,572,108,-108.116,0,255,0,0,100,1,1
3,464,525,-148.46,0,255,0,0,100,1,1
4,442,587,114.559,0,255,0,0,100,1,1
5,293,883,-135.091,0,255,0,0,100,1,1
6,76,528,117.697,0,255,0,0,100,1,1
7,694,808,-114.97,0,255,0,0,100,1,1
8,501,300,-143.313,0,255,0,0,100,1,1
9,690,348,56.1795,0,255,0,0,100,1,1
10,649,768,104.598,0,255,0,0,100,1,1
11,221,130,145.979,0,255,0,0,100,1,1
12,778,535,10.4789,0,255,0,0,100,1,1
13,483,64,73.3652,0,255,0,0,100,1,1
14,162,167,-10.3091,0,255,0,0,100,1,1
15,92,555,156.921,0,255,0,0,100,1,1
16,447,38,171.668,0,255,0,0,100,1,1
17,204,740,75.0977,0,255,0,0,100,1,1
18,759,690,151.517,0,255,0,0,100,1,1
19,188,642,133.012,0,255,0,0,100,1,1
20,525,485,116.652,0,255,0,0,100,1,1
21,108,349,65.0889,0,255,0,0,100,1,1
22,475,86,129.512,0,255,0,0,100,1,1
23,216,362,169.851,0,255,0,0,100,1,1
24,631,501,82.8463,0,255,0,0,100,1,1
25,196,615,-132.386,0,255,0,0,100,1,1
26,578,183,-100.112,0,255,0,0,100,1,1
27,653,542,106.218,0,255,0,0,100,1,1
28,373,474,-128.384,0,255,0,0,100,1,1
29,403,451,-19.5025,0,255,0,0,100,1,1
30,338,874,-51.2049,0,255,0,0,100,1,1
31,731,765,-75.5943,0,255,0,0,100,1,1
32,945,544,140.448,0,255,0,0,100,1,1
33,300,678,25.5071,0,255,0,0,100,1,1
34,514,252,24.8952,0,255,0,0,100,1,1
35,753,297,54.7567,0,255,0,0,100,1,1
36,492,427,-119.543,0,255,0,0,100,1,1
37,912,328,-165.509,0,255,0,0,100,1,1
38,948,486,141.531,0,255,0,0,100,1,1
39,584,721,-174.763,0,255,0,0,100,1,1
40,368,500,87.5851,0,255,0,0,100,1,1
41,106,553,-6.38432,0,255,0,0,100,1,1
42,191,217,114.103,0,255,0,0,100,1,1
43,640,489,13.8888,0,255,0,0,100,1,1
44,892,593,78.8275,0,255,0,0,100,1,1
45,584,576,-69.0251,0,255,0,0,100,1,1
46,609,787,36.4415,0,255,0,0,100,1,1
47,885,609,58.4309,0,255,0,0,100,1,1
48,538,633,16.8946,0,255,0,0,100,1,1
49,841,323,51.8934,0,255,0,0,100,1,1
50,150,454,-54.0652,0,255,0,0,100,1,1
51,345,720,115.474,0,255,0,0,100,1,1
52,79,302,44.1679,0,255,0,0,100,1,1
53,176,274,-88.1307,0,255,0,0,100,1,1
54,574,245,163.93,0,255,0,0,100,1,1
55,740,239,-31.0672,0,255,0,0,100,1,1
56,459,398,166.838,0,255,0,0,100,1,1
57,582,784,-88.9005,0,255,0,0,100,1,1
58,482,223,79.9711,0,255,0,0,100,1,1
59,517,130,58.8138,0,255,0,0,100,1,1
60,601,930,-9.91169,0,255,0,0,100,1,1
61,102,244,-69.6473,0,255,0,0,100,1,1
62,455,814,-153.557,0,255,0,0,100,1,1
63,844,668,-63.5807,0,255,0,0,100,1,1
64,741,100,138.116,0,255,0,0,100,1,1
65,662,182,-172.114,0,255,0,0,100,1,1
66,194,636,159.052,0,255,0,0,100,1,1
67,240,873,-157.916,0,255,0,0,100,1,1
68,75,637,162.76,0,255,0,0,100,1,1
69,596,912,125.923,0,255,0,0,100,1,1
70,170,307,-21.3275,0,255,0,0,100,1,1
71,581,214,131.213,0,255,0,0,100,1,1
72,817,760,-66.2801,0,255,0,0,100,1,1
73,131,558,175.378,0,255,0,0,100,1,1
74,464,107,88.5598,0,255,0,0,100,1,1
75,89,537,136.086,0,255,0,0,100,1,1
76,495,446,-151.688,0,255,0,0,100,1,1
77,624,957,164.579,0,255,0,0,100,1,1
78,438,36,-82.2626,0,255,0,0,100,1,1
79,505,96,-55.9344,0,255,0,0,100,1,1
80,830,659,-53.2446,0,255,0,0,100,1,1
81,616,741,-74.7784,0,255,0,0,100,1,1
82,335,481,-63.7846,0,255,0,0,100,1,1
83,516,349,149.396,0,255,0,0,100,1,1
84,515,172,-66.7434,0,255,0,0,100,1,1
85,325,723,-156.809,0,255,0,0,100,1,1
86,188,255,83.0163,0,255,0,0,100,1,1
87,805,371,69.4561,0,255,0,0,100,1,1
88,700,852,-170.115,0,255,0,0,100,1,1
89,599,239,-149.725,0,255,0,0,100,1,1
90,630,792,43.9467,0,255,0,0,100,1,1
91,648,735,-171.717,0,255,0,0,100,1,1
92,328,820,-4.53548,0,255,0,0,100,1,1
93,423,412,113.094,0,255,0,0,100,1,1
94,803,171,-63.8763,0,255,0,0,100,1,1
95,515,566,-65.2428,0,255,0,0,100,1,1
96,676,355,-82.7828,0,255,0,0,100,1,1
97,145,244,48.7504,0,255,0,0,100,1,1
98,828,177,41.5123,0,255,0,0,100,1,1
99,161,545,9.94668,0,255,0,0,100,1,1
100,355,289,-156.463,0,255,0,0,100,1,1
101,603,902,-156.41,0,255,0,0,100,1,1
102,135,481,-83.9865,0,255,0,0,100,1,1
103,781,475,-133.283,0,255,0,0,100,1,1
104,314,109,-59.3468,0,255,0,0,100,1,1
105,822,719,110.147,0,255,0,0,100,1,1
106,643,835,-1.06435,0,255,0,0,100,1,1
107,273,630,-17.7836,0,255,0,0,100,1,1
108,584,534,-64.2996,0,255,0,0,100,1,1
109,810,639,-32.0276,0,255,0,0,100,1,1
110,878,719,-23.9696,0,255,0,0,100,1,1
111,779,429,166.331,0,255,0,0,100,1,1
112,269,893,36.2643,0,255,0,0,100,1,1
113,833,374,-4.04192,0,255,0,0,100,1,1
114,205,305,55.2187,0,255,0,0,100,1,1
115,355,381,1.15761,0,255,0,0,100,1,1
116,708,839,-44.6091,0,255,0,0,100,1,1
117,600,578,23.4862,0,255,0,0,100,1,1
118,745,783,-81.3591,0,255,0,0,100,1,1
119,534,616,139.139,0,255,0,0,100,1,1
120,760,397,99.7146,0,255,0,0,100,1,1
121,432,542,47.0288,0,255,0,0,100,1,1
122,524,734,-114.543,0,255,0,0,100,1,1
123,680,717,72.1394,0,255,0,0,100,1,1
124,783,364,-58.0943,0,255,0,0,100,1,1
125,873,504,-4.41315,0,255,0,0,100,1,1
126,730,92,14.9057,0,255,0,0,100,1,1
127,609,738,61.3161,0,255,0,0,100,1,1
128,294,165,-19.5271,0,255,0,0,100,1,1
129,146,802,173.827,0,255,0,0,100,1,1
130,391,114,18.1215,0,255,0,0,100,1,1
131,435,388,-56.934,0,255,0,0,100,1,1
132,508,702,161.184,0,255,0,0,100,1,1
133,666,121,-126.434,0,255,0,0,100,1,1
134,499,780,-81.7892,0,255,0,0,100,1,1
135,619,924,113.615,0,255,0,0,100,1,1
136,508,926,-1.24278,0,255,0,0,100,1,1
137,789,217,-55.2921,0,255,0,0,100,1,1
138,565,325,176.763,0,255,0,0,100,1,1
139,122,475,115.048,0,255,0,0,100,1,1
140,496,349,25.0458,0,255,0,0,100,1,1
141,382,156,-143.948,0,255,0,0,100,1,1
142,314,452,105.433,0,255,0,0,100,1,1
143,623,908,152.61,0,255,0,0,100,1,1
144,385,147,-8.02448,0,255,0,0,100,1,1
145,794,356,-0.754199,0,255,0,0,100,1,1
146,298,334,-1.82125,0,255,0,0,100,1,1
147,929,609,-102.32,0,255,0,0,100,1,1
148,446,963,158.562,0,255,0,0,100,1,1
149,704,71,-28.7979,0,255,0,0,100,1,1
150,458,885,67.6639,0,255,0,0,100,1,1
151,617,97,64.6042,0,255,0,0,100,1,1
152,268,82,-104.479,0,255,0,0,100,1,1
153,723,880,-45.8989,0,255,0,0,100,1,1
154,568,557,25.1254,0,255,0,0,100,1,1
155,418,864,-148.426,0,255,0,0,100,1,1
156,877,335,-66.3957,0,255,0,0,100,1,1
157,157,536,-127.039,0,255,0,0,100,1,1
158,702,317,52.5655,0,255,0,0,100,1,1
159,396,636,-100.394,0,255,0,0,100,1,1
160,382,353,139.003,0,255,0,0,100,1,1
161,972,458,94.8651,0,255,0,0,100,1,1
162,602,831,-117.782,0,255,0,0,100,1,1
163,159,412,76.8537,0,255,0,0,100,1,1
164,668,605,-28.5374,0,255,0,0,100,1,1
165,156,525,73.7369,0,255,0,0,100,1,1
166,923,297,-31.1945,0,255,0,0,100,1,1
167,637,912,164.308,0,255,0,0,100,1,1
168,898,338,74.6509,0,255,0,0,100,1,1
169,71,310,23.8712,0,255,0,0,100,1,1
170,492,563,-91.8147,0,255,0,0,100,1,1
171,701,191,154.254,0,255,0,0,100,1,1
172,743,191,61.8522,0,255,0,0,100,1,1
173,579,756,-114.374,0,255,0,0,100,1,1
174,354,927,-137.092,0,255,0,0,100,1,1
175,564,516,-36.0919,0,255,0,0,100,1,1
176,807,622,-142.627,0,255,0,0,100,1,1
177,602,515,-132.025,0,255,0,0,100,1,1
178,910,369,-143.081,0,255,0,0,100,1,1
179,326,664,109.784,0,255,0,0,100,1,1
180,309,647,4.13413,0,255,0,0,100,1,1
181,368,597,142.072,0,255,0,0,100,1,1
182,365,199,145.158,0,255,0,0,100,1,1
183,247,628,83.6395,0,255,0,0,100,1,1
184,140,317,-30.3235,0,255,0,0,100,1,1
185,118,411,174.065,0,255,0,0,100,1,1
186,777,603,6.73126,0,255,0,0,100,1,1
187,495,733,173.115,0,255,0,0,100,1,1
188,442,920,140.092,0,255,0,0,100,1,1
189,445,615,-71.4504,0,255,0,0,100,1,1
190,110,433,-164.61,0,255,0,0,100,1,1
191,330,411,140.38,0,255,0,0,100,1,1
192,46,572,47.6868,0,255,0,0,100,1,1
193,456,444,-60.5552,0,255,0,0,100,1,1
194,535,73,97.0528,0,255,0,0,100,1,1
195,722,301,167.457,0,255,0,0,100,1,1
196,614,231,-108.947,0,255,0,0,100,1,1
197,346,838,151.341,0,255,0,0,100,1,1
198,62,363,176.556,0,255,0,0,100,1,1
199,240,743,-41.4751,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
